"furniture shop","магазин меблів"
"To view the furniture assembly instructions, download the pdf file","Щоб переглянути інструкцію по збірці меблів завантажте pdf файл"
"We'll email you an order confirmation with details and tracking info.","Ми відправимо вам лист з інформацією про замовлення і даними для відстеження."
"Your order # is: <span>%1</span>.","Номер вашого замовлення: <span>%1</span>."
"Thank you for your purchase!","Дякуємо за покупку!"
"Exit","Вихід"
"My Account","Мій обліковий запис"
"My Orders","Мої замовлення"
"My Wish List","Мій список побажань"
"Address Book","Адресна книга"
"Account Information","Дані облікового запису"
"My Product Reviews","Мої відгуки"
"Edit","Редагувати"
"Clear Shopping Cart","Очистити Кошик"
"Update Shopping Cart","Обновити Кошик"
"You have placed no orders.","Ви не оформили жодних замовлень."
"Contact Information","Контактна інформація"
"Change Password","Змінити пароль"
"Manage Addresses","Управління адресами"
"Edit Address","Змінити адресу"
"Recent Orders","Останні замовлення"
"Order #","№ Замовлення"
"Date","Дата"
"Ship To","Користувач"
"Status","Статус"
"Pending","В черзі"
"View Order","Переглянути замовлення"
"Default Billing Address","Адреса платника за замовчуванням"
"Default Shipping Address","Адреса доставки за замовчуванням"
"View All","Переглянути всі"
"Actions","Дії"
"My Recent Reviews","Мої останні відгуки"
"SKU","Код товару"
"Ordered","Замовлено"
"Grand Total","Загальна вартість"
"Product Name","Назва товару"
"Shipping Method","Метод доставки"
"Order Information","Інформація про замовлення"
"Payment Method","Метод оплати"
"Billing Address","Адреса платника"
"Shipping Address","Адреса доставки"
"Order # %1","Замовлення # %1"
"Rating","Рейтинг"
"Change Email","Змінити Email"
"Current Password","Поточний пароль"
"New Password","Новий пароль"
"Change Email and Password","Змінити email і пароль"
"Edit Account Information","Редагувати обліковий запис"
"Confirm New Password","Підтвердіть новий пароль"
"New Password and Confirm New Password values didn't match.","Значення в полях Новий пароль та Підтвердження нового пароля не збігаються."
"Save","Зберегти"
"You saved the account information.","Ви зберегли дані облікового запису"
"Password Strength","Надійність пароля"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Мінімальна довжина даного поля повинна бути рівна або більше %1 символів. Пробіли перед и після символів будуть проігноровані."
"Weak","Слабкий"
"Medium","Середній"
"Strong","Сильний"
"Very Strong","Дуже сильний"
"No Password","Пароль не введено"
"Default Addresses","Адреса за замовчуванням"
"Change Billing Address","Змінити адресу платника"
"Change Shipping Address","Змінити адресу доставки"
"Additional Address Entries","Додаткові адреси"
"You have no other address entries in your address book.","У вашій адресній книзі немає інших адрес."
"Add New Address","Додати нову адресу"
"Phone Number","Телефон"
"Address","Адреса"
"Street Address","Вулиця"
"City","Місто"
"State/Province","Область"
"Zip/Postal Code","Індекс"
"Country","Країна"
"Use as my default billing address","Використовувати в якості моєї адреси платника за замовчуванням"
"Use as my default shipping address","Використовувати в якості моєї адреси доставки за замовчуванням"
"Save Address","Зберегти адресу"
"You saved the address.","Ви зберегли адресу."
"Delete Address","Видалити адресу"
"You have no items in your wish list.","У списку побажань порожньо."
"Cancel","Відмінити"
"Add to Wishlist","Додати"
"Success","Успіх"
"You have added this product to your wishlist","Ви додали цей товар до свого списку бажань"
"Close ","Закрити "
"View Wishlist","Переглянути"
"Remove item","Видалити"
"Shipping & Handling","Доставка"
"Already have an account? Click here to login","Вхід в кабінет"
"Contact details","Контактні дані"
"Delivery method","Метод доставки"
"Payment Method","Метод оплати"
"Create account","Створити акаунт"
"My order","Моє замовлення"
"Please specify a shipping method.","Будь ласка, вкажіть метод доставки."
"Place Order","Оформити замовлення"
"Not yet calculated","Поки не розраховано"
"Comment","Коментар"
"Warehouse","Склад"
"To the warehouse","На склад"
"Courier to the address","До дверей"
"Warehouse Address","Вулиця"
"Shipping to","Доставка"
"Please enter a valid email address (Ex: johndoe@domain.com).","Будь ласка, введіть правильну адресу електронної пошти (Приклад: johndoe@domain.com)."
"Buy","Купити"
"Go to Home Page","На головну"
"Lviv","Львів"
"Other city","Інше місто"
"Adding...","Додавання ..."
"Added","Додано"
"You added %1 to your <a href="%2">shopping cart</a>.","Ви добавили %1 до Вашого <a href="%2">кошика</a>."
"product","Товар"
"Recalculate","Перерахувати"
"Feedback","Зворотній зв'язок"
"Please enter a valid email address.","Будь ласка, введіть дійсну адресу електронної пошти."
"We'll call you very soon, wait plese.","Ми зателефонуємо вам найближчим часом, зачекайте."
"Days","Днів"
"Hours","Годин"
"Min","Хвилин"
"Sec","Секунд"
"Action! Remaining time to expire:","Акція! До закінчення дії акції залишилось:"
"days","Дні"
"Day","День"
"Hour","Година"
"hours","Години"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
